prism:url;dc:identifier;eid;dc:title;dc:creator;prism:publicationName;prism:eIssn;prism:volume;prism:issueIdentifier;prism:pageRange;prism:coverDate;prism:coverDisplayDate;prism:doi;pii;citedby-count;affiliation__@_fa;affiliation__affilname;affiliation__affiliation-city;affiliation__affiliation-country;pubmed-id;prism:aggregationType;subtype;subtypeDescription;source-id;openaccess;openaccessFlag;link:scopus;link:scopus-citedby;link:full-text;source-address;abstract;view-in-source;source-score-2017;source-score-2018;source-score-2019;prism:issn;article-number;prism:isbn__@_fa;prism:isbn__$
https://api.elsevier.com/content/abstract/scopus_id/85091787306;SCOPUS_ID:85091787306;2-s2.0-85091787306;Dolutegravir with emtricitabine and tenofovir alafenamide or tenofovir disoproxil fumarate versus efavirenz, emtricitabine, and tenofovir disoproxil fumarate for initial treatment of HIV-1 infection (ADVANCE): week 96 results from a randomised, phase 3, non-inferiority trial;Venter W.D.F.;The Lancet HIV;23523018;7;10;e666-e676;2020-10-01;October 2020;10.1016/S2352-3018(20)30241-1;S2352301820302411;2;true;University of Witwatersrand;Johannesburg;South Africa;33010240;Journal;ar;Article;21100369870;0;False;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091787306&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091787306&origin=inward;https://api.elsevier.com/content/article/eid/1-s2.0-S2352301820302411;http://www.journals.elsevier.com/the-lancet-hiv/;"© 2020 Elsevier LtdBackground: ADVANCE compared the efficacy and safety of two antiretroviral first-line combinations (dolutegravir combined with emtricitabine and either tenofovir disoproxil fumarate or tenofovir alafenamide), with a third regimen (efavirenz combined with emtricitabine and tenofovir disoproxil fumarate) previously recommended by WHO. Here, we report the 96-week data for the study. Methods: This randomised, open-label, non-inferiority phase 3 trial, was done at two research sites in Johannesburg, South Africa, after participant recruitment from 11 public health clinics also in Johannesburg. Eligible participants were aged 12 years or older with HIV-1 infection, who weighed at least 40 kg, had no antiretroviral exposure in the previous 6 months, with a creatinine clearance of more than 60 mL/min (>80 mL per min in individuals aged <19 years), and a plasma HIV-1 RNA concentration of 500 copies per mL or higher. Individuals who were pregnant or had tuberculosis were excluded. Participants were randomly assigned (1:1:1) by study staff using a computerised randomisation system. Randomisation was stratified by age (12 and <19 years and 19 years). Participants were randomly assigned to once-daily oral fixed-dose combination tenofovir alafenamide 25 mg and emtricitabine 200 mg, and once-daily oral dolutegravir 50 mg; once-daily oral fixed-dose combination tenofovir disoproxil fumarate 300 mg and emtricitabine 200 mg, and once-daily oral dolutegravir 50 mg; or once-daily oral fixed-dose combination of tenofovir disoproxil fumarate 300 mg, emtricitabine 200 mg, and efavirenz 600 mg. The primary efficacy endpoint was the proportion of participants who had a plasma HIV-1 RNA concentration of less than 50 copies per mL at week 48, which has been reported previously. Here, we report the key secondary efficacy endpoint of the proportion of participants who had a plasma HIV-1 RNA concentration of less than 50 copies per mL at the week 96 visit, assessed in all participants who received at least one dose of any study drug, with a prespecified non-inferiority margin of 10%. Safety data, including clinical, dual-energy X-ray absorptiometry and laboratory data, are also reported. This study was registered with ClinicalTrials.gov, NCT03122262. Findings: Between Jan 17, 2017, and May 14, 2018, we screened 1453 individuals, of whom 1053 were enrolled: 351 participants were randomly assigned to the tenofovir alafenamide, emtricitabine, and dolutegravir group, 351 to the tenofovir disoproxil fumarate, emtricitabine, and dolutegravir group, and 351 to the tenofovir disoproxil fumarate, emtricitabine, and efavirenz group. All participants received at least one dose of study medication and were included in the primary analysis. At week 96, 276 (79%) of 351 participants in the tenofovir alafenamide, emtricitabine, and dolutegravir group, 275 (78%) of 351 participants in the tenofovir disoproxil fumarate, emtricitabine, and dolutegravir group, and 258 (74%) of 351 participants in the tenofovir disoproxil fumarate, emtricitabine, and efavirenz group had achieved a plasma HIV-1 RNA concentration of less than 50 copies per mL. Non-inferiority was established in all three comparisons. The proportion of patients with protocol-defined virological failure at week 96 was low in all treatment groups. Participants in the tenofovir alafenamide, emtricitabine, and dolutegravir group had fewer changes in bone density than the two other treatment groups. Mean weight gain was substantial (7·1 kg [SD 7·4] in the tenofovir alafenamide, emtricitabine, and dolutegravir group; 4·3 kg [6·7] in the tenofovir disoproxil fumarate, emtricitabine, and dolutegravir group, and 2·3 kg [7·0] in the tenofovir disoproxil fumarate, emtricitabine, and efavirenz group), and was greater among women than men. Ten (3%) of 351 participants in the tenofovir disoproxil fumarate, emtricitabine, and efavirenz group discontinued due to treatment-related adverse events, of which liver dysfunction (n=4) and rash (n=4) were most common. Interpretation: Medium-term and long-term metabolic and clinical consequences of the considerable increase in bodyweight observed in participants given these antiretroviral regimens and the trajectory of this weight gain over time, especially among women, require further study. Funding: USAID, Unitaid, South African Medical Research Council, ViiV Healthcare.";https://linkinghub.elsevier.com/retrieve/pii/S2352301820302411;14.3;17.7;19.0;;;;
https://api.elsevier.com/content/abstract/scopus_id/85082693122;SCOPUS_ID:85082693122;2-s2.0-85082693122;4-Deoxyphorbol inhibits HIV-1 infection in synergism with antiretroviral drugs and reactivates viral reservoirs through PKC/MEK activation synergizing with vorinostat;De la Torre-Tarazona H.E.;Biochemical Pharmacology;18732968;177;;None;2020-07-01;July 2020;10.1016/j.bcp.2020.113937;S0006295220301659;0;true;Centro Nacional de Microbiologia;Majadahonda;Spain;32224142;Journal;ar;Article;20063;0;False;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082693122&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082693122&origin=inward;https://api.elsevier.com/content/article/eid/1-s2.0-S0006295220301659;www.elsevier.com/locate/biochempharm;© 2020 Elsevier Inc.Latent HIV reservoirs are the main obstacle to eradicate HIV infection. One strategy proposes to eliminate these viral reservoirs by pharmacologically reactivating the latently infected T cells. We show here that a 4-deoxyphorbol ester derivative isolated from Euphorbia amygdaloides ssp. semiperfoliata, 4-dPE A, reactivates HIV-1 from latency and could potentially contribute to decrease the viral reservoir. 4-dPE A shows two effects in the HIV replication cycle, infection inhibition and HIV transactivation, similarly to other phorboids PKC agonists such PMA and prostratin and to other diterpene esters such SJ23B. Our data suggest 4-dPE A is non-tumorigenic, unlike the related compound PMA. As the compounds are highly similar, the lack of tumorigenicity by 4-dPE A could be due to the lack of a long side lipophilic chain that is present in PMA. 4-dPE activates HIV transcription at nanomolar concentrations, lower than the concentration needed by other latency reversing agents (LRAs) such as prostratin and similar to bryostatin. PKC/MEK activation is required for the transcriptional activity, and thus, anti-latency activity of 4-dPE A. However, CD4, CXCR4 and CCR5 receptors down-regulation effect seems to be independent of PCK/MEK, suggesting the existence of at least two different targets for 4-dPE A. Furthermore, NF-b transcription factor is involved in 4-dPE HIV reactivation, as previously shown for other PKCs agonists. We also studied the effects of 4-dPE A in combination with other LRAs. When 4-dPE A was combined with another PKC agonists such as prostratin an antagonic effect was achieved, while, when combined with an HDAC inhibitor such as vorinostat, a strong synergistic effect was obtained. Interestingly, the latency reversing effect of the combination was synergistically diminishing the EC50 value but also increasing the efficacy showed by the drugs alone. In addition, combinations of 4-dPE A with antiretroviral drugs as CCR5 antagonist, NRTIs, NNRTIs and PIs, showed a consistent synergistic effect, suggesting that the combination would not interefer with antiretroviral therapy (ART). Finally, 4-dPE A induced latent HIV reactivation in CD4 + T cells of infected patients under ART at similar levels than the tumorigenic phorbol derivative PMA, showing a clear reactivation effect. In summary, we describe here the mechanism of action of a new potent deoxyphorbol derivative as a latency reversing agent candidate to decrease the size of HIV reservoirs.;https://linkinghub.elsevier.com/retrieve/pii/S0006295220301659;8.4;6.2;7.5;00062952;113937;;
https://api.elsevier.com/content/abstract/scopus_id/85087469489;SCOPUS_ID:85087469489;2-s2.0-85087469489;Longitudinal study reveals HIV-1-infected CD4<sup>+</sup> T cell dynamics during long-term antiretroviral therapy;Antar A.A.R.;Journal of Clinical Investigation;15588238;130;7;3543-3559;2020-07-01;1 July 2020;10.1172/JCI135953;;1;true;Johns Hopkins University;Baltimore;United States;32191639;Journal;ar;Article;15870;0;False;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087469489&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087469489&origin=inward;;https://www.jci.org/articles/view/135953/pdf;Copyright: © 2020, American Society for Clinical Investigation.Proliferation of CD4+ T cells harboring HIV-1 proviruses is a major contributor to viral persistence in people on antiretroviral therapy (ART). To determine whether differential rates of clonal proliferation or HIV-1-specific cytotoxic T lymphocyte (CTL) pressure shape the provirus landscape, we performed an intact proviral DNA assay (IPDA) and obtained 661 near-full-length provirus sequences from 8 individuals with suppressed viral loads on ART at time points 7 years apart. We observed slow decay of intact proviruses but no changes in the proportions of various types of defective proviruses. The proportion of intact proviruses in expanded clones was similar to that of defective proviruses in clones. Intact proviruses observed in clones did not have more escaped CTL epitopes than intact proviruses observed as singlets. Concordantly, total proviruses at later time points or observed in clones were not enriched in escaped or unrecognized epitopes. Three individuals with natural control of HIV-1 infection (controllers) on ART, included because controllers have strong HIV-1-specific CTL responses, had a smaller proportion of intact proviruses but a distribution of defective provirus types and escaped or unrecognized epitopes similar to that of the other individuals. This work suggests that CTL selection does not significantly check clonal proliferation of infected cells or greatly alter the provirus landscape in people on ART.;https://www.jci.org/articles/view/135953;21.2;19.0;17.0;00219738;;;
https://api.elsevier.com/content/abstract/scopus_id/85094221704;SCOPUS_ID:85094221704;2-s2.0-85094221704;Population Pharmacokinetic and Pharmacodynamic Analysis To Evaluate a Switch to Doravirine/Lamivudine/Tenofovir Disoproxil Fumarate in People Living with HIV-1;Vaddady P.;Antimicrobial agents and chemotherapy;10986596;64;11;None;2020-10-20;20 October 2020;10.1128/AAC.00590-20;;0;true;"Merck &amp; Co., Inc.";Kenilworth;United States;32868326;Journal;ar;Article;19615;1;True;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094221704&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094221704&origin=inward;;None;Copyright © 2020 Vaddady et al.Doravirine is a non-nucleoside reverse transcriptase inhibitor for treatment of human immunodeficiency virus type 1 (HIV-1) infection. A population pharmacokinetic (PK) model for treatment-naive participants in doravirine clinical studies was updated with data from switch participants in the DRIVE-SHIFT trial and used to estimate individual post hoc PK parameter values and evaluate the efficacy exposure-response relationship. The results support the 100-mg dose for people living with HIV switching to a doravirine-based regimen (This study has been registered at ClinicalTrials.gov under ClinicalTrials registration no. NCT02397096.).;https://aac.asm.org/content/64/11/e00590-20;7.8;7.9;8.3;;;;
https://api.elsevier.com/content/abstract/scopus_id/85087150703;SCOPUS_ID:85087150703;2-s2.0-85087150703;Treatment outcomes of integrase inhibitors, boosted protease inhibitors and nonnucleoside reverse transcriptase inhibitors in antiretroviral-naïve persons starting treatment;Mocroft A.;HIV Medicine;14681293;21;9;599-606;2020-10-01;1 October 2020;10.1111/hiv.12888;;0;true;University College London;London;United Kingdom;32588958;Journal;ar;Article;22307;1;True;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087150703&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087150703&origin=inward;;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-1293;"© 2020 The Authors. HIV Medicine published by John Wiley & Sons Ltd on behalf of British HIV AssociationObjectives: Although outcomes of antiretroviral therapy (ART) have been evaluated in randomized controlled trials, experiences from subpopulations defined by age, CD4 count or viral load (VL) in heterogeneous real-world settings are limited. Methods: The study design was an international multicohort collaboration. Logistic regression was used to compare virological and immunological outcomes at 12 ± 3 months after starting ART with an integrase strand transfer inhibitor (INSTI), contemporary nonnucleoside reverse transcriptase inhibitor (NNRTI) or boosted protease inhibitor (PI/b) with two nucleos(t)ides after 1 January 2012. The composite treatment outcome (cTO) defined success as VL ' 200 HIV-1 RNA copies/mL with no regimen change and no AIDS/death events. Immunological success was defined as a CD4 count ' 750 cells/L or a 33% increase where the baseline CD4 count was  500 cells/L. Poisson regression compared clinical failures (AIDS/death  14 days after starting ART). Interactions between ART class and age, CD4 count, and VL were determined for each endpoint. Results: Of 5198 ART-naïve persons in the International Cohort Consortium of Infectious Diseases (RESPOND), 45.4% started INSTIs, 26.0% PI/b and 28.7% NNRTIs; 880 (17.4%) were aged ' 50 years, 2539 (49.4%) had CD4 counts ' 350 cells/L and 1891 (36.8%) had VL ' 100 000 copies/mL. Differences in virological and immunological success and clinical failure among ART classes were similar across age groups ( 40, 40–50 and ' 50 years), CD4 count categories ( 350 vs. ' 350 cells/L) and VL categories at ART initiation ( 100 000 vs. ' 100 000 copies/mL), with all investigated interactions being nonsignificant (P ' 0.05). Conclusions: Differences among ART classes in virological, immunological and clinical outcomes in ART-naïve participants were consistent irrespective of age, immune suppression or VL at ART initiation. While confounding by indication cannot be excluded, this provides reassuring evidence that such subpopulations will equally benefit from contemporary ART.";https://onlinelibrary.wiley.com/doi/10.1111/hiv.12888;5.6;5.3;5.8;14642662;;;
https://api.elsevier.com/content/abstract/scopus_id/85090405990;SCOPUS_ID:85090405990;2-s2.0-85090405990;An assessment of toll-like receptor 7 and 8 gene polymorphisms with susceptibility to HIV-1 infection, AIDS development and response to antiretroviral therapy;Zaidane I.;Immunology Letters;18790542;227;;88-95;2020-11-01;November 2020;10.1016/j.imlet.2020.08.008;S0165247820303783;0;true;Institut Pasteur du Maroc;Casablanca;Morocco;32888973;Journal;ar;Article;20825;0;False;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090405990&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090405990&origin=inward;https://api.elsevier.com/content/article/eid/1-s2.0-S0165247820303783;www.elsevier.com/locate/immlet;"© 2020 European Federation of Immunological SocietiesToll-like receptors (TLRs) play an important role in activating the innate immune response, inducing inflammation and initiating the adaptive immune response. In this study, we assess the influence of TLR7 and TLR8 gene polymorphisms on HIV-1 susceptibility, AIDS development, and treatment outcomes. The TLR7 and TLR8 single nucleotide polymorphisms (SNPs) were genotyped through real-time PCR in 222 patients living with HIV-1 and 141 healthy controls. Frequencies of the TLR7-IVS2-151 G/A and TLR7-IVS1 + 1817 G/T genotypes and alleles were not significantly increased in patients with HIV-1 infection compared to healthy controls both in males and females. Whereas, males carrying TLR8 Met allele were twice susceptible to HIV-1 infection compared to subjects with A allele (OR = 2.04, 95 % CI 1.103.76; p = 0.021). Interestingly, for TLR8-129 G/C, both males and females carrying G allele and GG genotype, respectively were significantly associated with HIV-1 infection (p < 0.0001). Moreover, the TLR7 IVS1 + 1817 G/T and the TLR8 rs3764880 were associated with protection to progress the AIDS stage in male and female, respectively (p < 0.05). Males carrying TLR7 IVS2-151-A allele showed a significant increased level of HIV-1 viral load pre-treatment, in comparison with individuals carrying the G allele (p-value = 0.036). Additionally, males carrying TLR8 Met allele showed statistically higher HIV viral load at baseline (p-value = 0.04) and after treatment (p-value = 0.013). Regarding CD4 + T cell counts, no significant association was found with TLR7 and TLR8 SNPs before and after antiretroviral treatment. This data demonstrates that TLR8 polymorphisms could affect HIV-1 infection. Moreover, an association between TLR7 IVS2-151-A and TLR8 Met alleles and plasma HIV viral load level was found.";https://linkinghub.elsevier.com/retrieve/pii/S0165247820303783;5.0;4.5;5.1;01652478;;;
https://api.elsevier.com/content/abstract/scopus_id/85086749334;SCOPUS_ID:85086749334;2-s2.0-85086749334;Characteristics of drug resistance in HIV-1 CRF55_01B from ART-experienced patients in Guangdong, China;Lan Y.;Journal of Antimicrobial Chemotherapy;14602091;75;7;1925-1931;2020-07-01;1 July 2020;10.1093/jac/dkaa116;;0;true;Guangzhou Medical University;Guangzhou;China;32300784;Journal;ar;Article;22418;0;False;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086749334&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086749334&origin=inward;;http://jac.oxfordjournals.org/;© 2020 The Author(s) 2020. Published by Oxford University Press on behalf of the British Society for Antimicrobial Chemotherapy. All rights reserved.HIV-1 acquired drug resistance (ADR) has become a critical clinical and public health issue. Recently, HIV-1 CRF55_01B has been found more frequently in the MSM population. Objective: To investigate the characteristics of HIV-1 drug resistance mutations (DRMs) and the extent of changes in drug susceptibility among ART-experienced CRF55_01B-infected adults of Guangdong. Methods: ADR was tested for immediately in CRF55_01B-infected patients with virological failure. Demographic and epidemiological information was collected. DRMs and antiretroviral susceptibility were interpreted using the Stanford University HIV Drug Resistance Database HIVdb program. Results: Overall, 162 (4.78%) CRF55_01B isolates were identified from 2013 to 2018. Among DRMs, M184V (43.83%) was the most frequent NRTI DRM, followed by K65R (23.46%), and V179E (98.77%) was the most frequent NNRTI DRM, followed by K103N (47.53%) and Y181C (14.81%). According to the HIVdb program, 79.01% of the CRF55_01B-infected patients carried mutations conferring low-level or higher drug resistance to any of the three classes of ART drugs. Among PI DRMs, only one mutation affording low-level resistance to nelfinavir was found (0.62%). Among NRTI DRMs, a high proportion of high-level resistance to lamivudine (58.64%) and emtricitabine (58.02%) was found. As regards NNRTIs, more than 75% of patients carried efavirenz and nevirapine DRMs. The percentages of high-level resistance were 70.99%, 63.58%, 22.22%, 17.90% and 4.32% for nevirapine, efavirenz, rilpivirine, doravirine and etravirine, respectively. Conclusions: High frequencies of DRMs and resistance were observed among CRF55_01B-infected patients failing ART in Guangdong, and interventions may be considered to minimize ecological contributions to ART.;https://academic.oup.com/jac/article/75/7/1925/5821043;8.7;7.7;8.3;03057453;;;
https://api.elsevier.com/content/abstract/scopus_id/85088352170;SCOPUS_ID:85088352170;2-s2.0-85088352170;A phase IV randomised, open-label pilot study to evaluate switching from protease-inhibitor based regimen to Bictegravir/Emtricitabine/Tenofovir Alafenamide single tablet regimen in Integrase inhibitor-naïve, virologically suppressed HIV-1 infected adults harbouring drug resistance mutations (PIBIK study): Study protocol for a randomised trial;Iwuji C.C.;BMC Infectious Diseases;14712334;20;1;None;2020-07-20;20 July 2020;10.1186/s12879-020-05240-y;;0;true;Brighton and Sussex University Hospitals NHS Trust;Brighton;United Kingdom;32689975;Journal;ar;Article;36513;1;True;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088352170&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088352170&origin=inward;;http://www.biomedcentral.com/bmcinfectdis/;"© 2020 The Author(s).Background: Currently recommended boosted protease-inhibitor (bPI) regimens may be associated with increased risk of cardiovascular or chronic kidney diseases; in addition, boosted regimens are particularly associated with drug-drug interactions. Since both cardiovascular and renal disease, and polypharmacy, are common in ageing people with HIV, there is a need for alternative efficacious regimens. bPI-based regimens are often the treatment of choice for individuals with pre-treatment or treatment-acquired resistance but it is plausible that carefully selected HIV-positive individuals with drug resistance, who are virologically suppressed on their current bPI regimen, could maintain virological efficacy when switched to bictegravir, emtricitabine and tenofovir alafenamide (B/F/TAF) fixed dose combination (FDC). Methods/design: A phase IV, investigator-initiated, multicentre, open label pilot, randomised two-arm study to assess the safety and efficacy of switching from bPI regimen to B/F/TAF single tablet regimen in integrase inhibitor-naïve, virologically suppressed adults with HIV-1 infection harbouring drug resistance mutations. Eligible individuals will either continue on their bPI regimen or switch to B/F/TAF FDC. After 24 weeks, all participants in the bPI arm will be switched to B/F/TAF and followed for a further 24 weeks and all participants will be followed for 48 weeks. The primary efficacy endpoint is the proportion of participants with HIV-1 RNA < 50 copies/mL at week 24 using pure virologic response whilst the secondary efficacy endpoint is the proportion of participants with HIV-1 RNA < 50 copies/mL at Week 48. Other secondary outcome measures include between arm comparisons of drug resistance at virological failure, safety and tolerability and patient-reported outcome measures. Discussion: We aim to provide preliminary evidence of the efficacy of switching to B/F/TAF in patients with virological suppression on a bPI-based regimen who harbour select drug resistance mutations. Trial registration: ISRCTN 44453201, registered 19 June 2019 and EudraCT 2018-004732-30.";https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-020-05240-y;4.5;4.3;4.1;;524;;
https://api.elsevier.com/content/abstract/scopus_id/85086045987;SCOPUS_ID:85086045987;2-s2.0-85086045987;Retrospective analysis of HIV-1 drug resistance mutations in Suzhou, China from 2009 to 2014;Song Y.;Virus Genes;1572994X;56;5;557-563;2020-10-01;1 October 2020;10.1007/s11262-020-01774-0;;0;true;The First Affiliated Hospital of Soochow University;Suzhou;China;32500372;Journal;ar;Article;20887;0;False;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086045987&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086045987&origin=inward;;www.wkap.nl/journalhome.htm/0920-8569;© 2020, Springer Science+Business Media, LLC, part of Springer Nature.In this study, we investigated drug resistance levels in human immunodeficiency virus (HIV)-1-infected patients in Suzhou by retrospectively analyzing this property and the characteristics of circulating HIV-1 strains collected from 2009 to 2014. A total of 261 HIV-1-positive plasma samples, confirmed by the Suzhou CDC, were collected and evaluated to detect HIV-1 drug resistance genotypes using an in-house method. The pol gene fragment was amplified, and its nucleic acid sequence was determined by Sanger sequencing. Drug resistance mutations were then analyzed using the Stanford University HIV resistance database (https://hivdb.stanford.edu). A total of 216 pol gene fragments were amplified and sequenced with 16.7% (36/216) of sequences revealing these mutations. The drug resistance rates of protease, nucleoside reverse transcriptase, and non-nucleoside reverse transcriptase inhibitors (NNRTIs) were 4/36 (11.1%), 2/36 (5.6%), and 30/36 (83.3%), respectively. Five surveillance drug resistance mutations were found in 36 sequences, of which, three were found among specimens of men who have sex with men. Potential low-level resistance accounted for 33% of amino acid mutations associated with NNRTIs. Two of the mutations, M230L and L100I, which confer a high level of resistance efavirenz (EFV) and nevirapine (NVP) used as NNRTIs for first-line antiretroviral therapy (ART), were detected in this study. Therefore, when HIV-1 patients in Suzhou are administered fist-line ART, much attention should be paid to the status of these mutations that cause resistance to EVP, EFV, and NVP.;http://link.springer.com/10.1007/s11262-020-01774-0;3.0;3.1;3.4;09208569;;;
https://api.elsevier.com/content/abstract/scopus_id/85087801661;SCOPUS_ID:85087801661;2-s2.0-85087801661;Effect of a multi-dimensional case management model on anti-retroviral therapy-related outcomes among people living with human immunodeficiency virus in Beijing, China;Dai L.;BMC Infectious Diseases;14712334;20;1;None;2020-07-09;9 July 2020;10.1186/s12879-020-05219-9;;0;true;Beijing YouAn Hospital, Capital Medical University;Beijing;China;32646373;Journal;ar;Article;36513;1;True;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087801661&origin=inward;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087801661&origin=inward;;http://www.biomedcentral.com/bmcinfectdis/;"© 2020 The Author(s).Background: This paper introduces a comprehensive case management model uniting doctors, nurses, and non-governmental organizations (NGOs) in order to shorten the time from HIV diagnosis to initiation of antiviral therapy, improve patients' adherence, and ameliorate antiretroviral treatment (ART)-related outcomes. Methods: All newly diagnosed human immunodeficiency virus (HIV) cases at Beijing YouAn Hospital from January 2012 to December 2013 were selected as the control group, while all newly diagnosed HIV-infected patients from January 2015 to December 2016 were selected as the intervention group, receiving the comprehensive case management model. Results: 4906 patients were enrolled, of which 1549 were in the control group and 3357 in the intervention group. The median time from confirming HIV infection to ART initiation in the intervention group was 35 (18-133) days, much shorter than the control group (56 (26-253) days, P < 0.001). Participants in the intervention group had better ART adherence compared to those in the control group (intervention: 95.3%; control: 89.2%; p < 0.001). During the 2 years' follow-up, those receiving case management were at decreased odds of experiencing virological failure (OR: 0.27, 95%CI: 0.17-0.42, P < 0.001). Observed mortality was 0.4 deaths per 100 patient-years of follow-up for patients in the control group compared with 0.2 deaths per 100 patient-years of follow-up in the intervention group. Conclusions: People living with HIV engaged in the comprehensive case management model were more likely to initiate ART sooner and maintained better treatment compliance and improved clinical outcomes compared to those who received routine care. A comprehensive case management program could be implemented in hospitals across China in order to reduce the HIV disease burden in the country.";https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-020-05219-9;4.5;4.3;4.1;;489;;
